"Date","Price","Open","High","Low","Vol.","Change %"
"2019-07-25","5.2194","5.2298","5.2417","5.2189","71.12K","-0.16%"
"2019-07-24","5.2277","5.2377","5.2431","5.2255","70.20K","-0.19%"
"2019-07-23","5.2377","5.2448","5.2472","5.2243","70.02K","-0.11%"
"2019-07-22","5.2433","5.2674","5.2782","5.2439","55.20K","-0.46%"
"2019-07-19","5.2673","5.2814","5.2867","5.2470","81.49K","-0.23%"
"2019-07-18","5.2796","5.2675","5.2830","5.2533","73.74K","0.25%"
"2019-07-17","5.2663","5.2538","5.2741","5.2512","66.07K","0.27%"
"2019-07-16","5.2523","5.2708","5.2812","5.2519","67.29K","-0.32%"
"2019-07-15","5.2693","5.2787","5.2829","5.2687","50.59K","-0.18%"
"2019-07-12","5.2786","5.2548","5.2850","5.2523","71.53K","0.50%"
"2019-07-11","5.2521","5.2533","5.2668","5.2473","74.36K","0.02%"
"2019-07-10","5.2511","5.2470","5.2631","5.2296","74.81K","0.16%"
"2019-07-09","5.2426","5.2557","5.2589","5.2389","68.57K","-0.22%"
"2019-07-08","5.2541","5.2740","5.2756","5.2515","58.73K","-0.28%"
"2019-07-05","5.2687","5.2643","5.2764","5.2399","82.53K","0.11%"
"2019-07-04","5.2629","5.2707","5.2720","5.2512","71.26K","-0.11%"
"2019-07-03","5.2689","5.2433","5.2716","5.2409","78.12K","0.50%"
"2019-07-02","5.2428","5.2164","5.2489","5.2146","77.89K","0.55%"
"2019-07-01","5.2141","5.2449","5.2567","5.2118","68.30K","-0.55%"
"2019-06-28","5.2429","5.2517","5.2592","5.2383","84.86K","-0.15%"
"2019-06-27","5.2506","5.2411","5.2541","5.2349","78.70K","0.22%"
"2019-06-26","5.2389","5.2242","5.2499","5.2169","89.13K","0.29%"
"2019-06-25","5.2237","5.2182","5.2331","5.2079","93.39K","0.19%"
"2019-06-24","5.2140","5.1965","5.2228","5.1954","65.58K","0.39%"
"2019-06-21","5.1936","5.1944","5.2192","5.1881","95.30K","0.00%"
"2019-06-20","5.1937","5.1981","5.2154","5.1779","100.11K","-0.02%"
"2019-06-19","5.1947","5.1605","5.1999","5.1568","87.50K","0.72%"
"2019-06-18","5.1575","5.1635","5.1716","5.1513","86.99K","-0.11%"
"2019-06-17","5.1630","5.1662","5.1723","5.1596","62.28K","0.02%"
"2019-06-14","5.1619","5.1941","5.1974","5.1590","75.70K","-0.60%"
"2019-06-13","5.1930","5.1845","5.2062","5.1838","84.87K","0.20%"
"2019-06-12","5.1825","5.2028","5.2130","5.1834","80.48K","-0.39%"
